No,Title,Link,Tags,Acceptance,Difficulty,Frequency
815,Bus Routes,https://leetcode.com/problems/bus-routes/description/,[Array][Hash Table][Breadth-First Search],48.2%,Hard,0
564,Find the Closest Palindrome,https://leetcode.com/problems/find-the-closest-palindrome/description/,[Math][String],22.2%,Hard,0
2468,Split Message Based on Limit,https://leetcode.com/problems/split-message-based-on-limit/description/,[String][Binary Search],43.5%,Hard,0
1428,Leftmost Column with at Least a One,https://leetcode.com/problems/leftmost-column-with-at-least-a-one/description/,[Array][Binary Search][Matrix][Interactive],54.2%,Medium,0
427,Construct Quad Tree,https://leetcode.com/problems/construct-quad-tree/description/,[Array][Divide and Conquer][Tree][Matrix],75.3%,Medium,0
737,Sentence Similarity II,https://leetcode.com/problems/sentence-similarity-ii/description/,[Array][Hash Table][String][Depth-First Search][Breadth-First Search][Union Find],49.7%,Medium,0
399,Evaluate Division,https://leetcode.com/problems/evaluate-division/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Graph][Shortest Path],61.5%,Medium,0
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/description/,[Array][Queue][Sliding Window][Heap (Priority Queue)][Ordered Set][Monotonic Queue],49.1%,Medium,0
2251,Number of Flowers in Full Bloom,https://leetcode.com/problems/number-of-flowers-in-full-bloom/description/,[Array][Hash Table][Binary Search][Sorting][Prefix Sum][Ordered Set],56.8%,Hard,0
1631,Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort/description/,[Array][Binary Search][Depth-First Search][Breadth-First Search][Union Find][Heap (Priority Queue)][Matrix],59.4%,Medium,0
2115,Find All Possible Recipes from Given Supplies,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies/description/,[Array][Hash Table][String][Graph][Topological Sort],49.4%,Medium,0
343,Integer Break,https://leetcode.com/problems/integer-break/description/,[Math][Dynamic Programming],60.2%,Medium,0
1092,Shortest Common Supersequence,https://leetcode.com/problems/shortest-common-supersequence/description/,[String][Dynamic Programming],59.0%,Hard,0
953,Verifying an Alien Dictionary,https://leetcode.com/problems/verifying-an-alien-dictionary/description/,[Array][Hash Table][String],54.9%,Easy,0
332,Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary/description/,[Depth-First Search][Graph][Eulerian Circuit],43.3%,Hard,0
1,Two Sum,https://leetcode.com/problems/two-sum/description/,[Array][Hash Table],52.0%,Easy,0
2610,Convert an Array Into a 2D Array With Conditions,https://leetcode.com/problems/convert-an-array-into-a-2d-array-with-conditions/description/,[Array][Hash Table],87.3%,Medium,0
212,Word Search II,https://leetcode.com/problems/word-search-ii/description/,[Array][String][Backtracking][Trie][Matrix],36.2%,Hard,0
692,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words/description/,[Hash Table][String][Trie][Sorting][Heap (Priority Queue)][Bucket Sort][Counting],57.8%,Medium,0
802,Find Eventual Safe States,https://leetcode.com/problems/find-eventual-safe-states/description/,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],62.2%,Medium,0
1922,Count Good Numbers,https://leetcode.com/problems/count-good-numbers/description/,[Math][Recursion],43.9%,Medium,0
79,Word Search,https://leetcode.com/problems/word-search/description/,[Array][String][Backtracking][Matrix],41.4%,Medium,0
931,Minimum Falling Path Sum,https://leetcode.com/problems/minimum-falling-path-sum/description/,[Array][Dynamic Programming][Matrix],64.7%,Medium,0
1009,Complement of Base 10 Integer,https://leetcode.com/problems/complement-of-base-10-integer/description/,[Bit Manipulation],60.8%,Easy,0
279,Perfect Squares,https://leetcode.com/problems/perfect-squares/description/,[Math][Dynamic Programming][Breadth-First Search],54.7%,Medium,0
1207,Unique Number of Occurrences,https://leetcode.com/problems/unique-number-of-occurrences/description/,[Array][Hash Table],77.0%,Easy,0
55,Jump Game,https://leetcode.com/problems/jump-game/description/,[Array][Dynamic Programming][Greedy],38.5%,Medium,0
528,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight/description/,[Array][Math][Binary Search][Prefix Sum][Randomized],46.6%,Medium,0
